Date,Open,High,Low,Close,Adj Close,Volume
2018-02-13,56.639999,58.625000,56.312500,58.157501,57.570728,62552400
2018-02-14,57.750000,60.647499,57.637501,60.355000,59.746037,74498800
2018-02-15,61.197498,62.092499,60.380001,61.625000,61.003231,69890000
2018-02-16,61.349998,62.500000,60.867500,60.959999,60.344948,63765600
2018-02-20,61.187500,62.967499,61.150002,62.270000,61.641727,68624000
2018-02-21,62.922501,62.992500,60.340000,60.377499,59.768322,89229200
2018-02-22,60.682499,61.407501,59.875000,60.537498,59.963947,53436400
2018-02-23,61.142502,61.482498,60.630001,61.482498,60.899998,41530000
2018-02-26,61.950001,61.994999,61.014999,61.645000,61.060963,46931200
2018-02-27,61.375000,62.227501,61.282501,61.514999,60.932194,45543600
2018-02-28,61.625000,62.025002,60.382500,60.500000,59.926815,52311600
2018-03-01,60.477501,61.022499,57.029999,58.052502,57.502499,104012000
2018-03-02,56.965000,59.200001,55.462502,59.134998,58.574734,91342800
2018-03-05,58.627499,59.312500,57.380001,58.912498,58.354351,62077600
2018-03-06,59.775002,60.735001,59.340000,60.540001,59.966438,63680800
2018-03-07,59.500000,60.987499,59.487499,60.459999,59.887188,58120800
2018-03-08,60.737499,60.737499,59.847500,60.294998,59.723751,41191200
2018-03-09,60.775002,61.462502,60.612499,61.332500,60.751427,50552400
2018-03-12,61.750000,63.250000,61.667500,62.439999,61.848431,60506000
2018-03-13,62.872501,63.625000,61.509998,61.927502,61.340786,61977200
2018-03-14,62.362499,62.637501,61.555000,62.185001,61.595848,50549600
2018-03-15,62.322498,63.154999,61.910000,62.334999,61.744431,40195200
2018-03-16,62.500000,62.812500,62.119999,62.619999,62.026718,39945600
2018-03-19,62.044998,62.337502,59.250000,60.250000,59.679176,71377200
2018-03-20,60.279999,62.787498,60.279999,62.395000,61.803860,55469600
2018-03-21,62.330002,63.000000,61.832500,62.139999,61.551277,43868800
2018-03-22,61.500000,61.970001,60.084999,60.462502,59.889671,55119600
2018-03-23,60.599998,60.625000,58.130001,58.242500,57.690693,73562000
2018-03-26,59.500000,61.132500,58.974998,61.119999,60.540939,61142400
2018-03-27,61.937500,62.500000,54.962502,56.380001,55.845844,140900000
2018-03-28,56.032501,57.347500,54.250000,55.337502,54.813221,94590400
2018-03-29,56.027500,58.875000,55.174999,57.897499,57.348961,91662800
2018-04-02,57.185001,58.662498,54.375000,55.262501,54.738930,92209200
2018-04-03,56.950001,57.587502,55.337502,56.337502,55.803749,66743200
2018-04-04,53.752499,56.665001,53.500000,56.560001,56.024136,78916800
2018-04-05,57.150002,57.282501,54.622501,55.345001,54.820652,70124000
2018-04-06,54.307499,55.400002,53.267502,53.562500,53.055042,66298800
2018-04-09,54.200001,55.492500,53.650002,53.852501,53.342297,49952400
2018-04-10,56.180000,57.250000,55.602501,56.977501,56.437683,76167600
2018-04-11,56.827499,57.244999,56.230000,56.560001,56.024136,46024400
2018-04-12,57.500000,58.830002,57.052502,58.650002,58.094334,59392000
2018-04-13,59.292500,59.377499,57.387501,57.875000,57.326675,50303600
2018-04-16,57.942501,58.209999,56.919998,57.872501,57.324200,35079200
2018-04-17,58.400002,59.599998,57.837502,59.384998,58.822369,44722400
2018-04-18,58.875000,59.812500,58.192501,59.092499,58.532639,39136400
2018-04-19,57.937500,58.275002,56.700001,57.259998,56.717503,47199600
2018-04-20,57.172501,58.025002,56.862499,57.177502,56.635796,38620000
2018-04-23,57.357498,57.875000,55.707500,55.970001,55.439728,42750800
2018-04-24,56.230000,57.200001,54.639999,55.299999,54.776073,41459600
2018-04-25,55.000000,55.395000,52.575001,54.165001,53.651825,58849200
2018-04-26,55.799999,56.387501,55.132500,56.305000,55.771553,37582400
2018-04-27,57.375000,57.575001,56.154999,56.582500,56.046432,40084800
2018-04-30,56.747501,57.250000,56.029999,56.224998,55.692310,32784400
2018-05-01,56.142502,56.812500,55.549999,56.785000,56.247005,25378800
2018-05-02,56.750000,57.200001,56.312500,56.577499,56.041473,26824800
2018-05-03,56.900002,58.512501,56.442501,58.247501,57.695652,44314400
2018-05-04,57.957500,59.797501,57.782501,59.764999,59.198772,40066000
2018-05-07,60.822498,62.747501,60.722500,62.169998,61.580982,68761600
2018-05-08,62.172501,62.627499,61.677502,62.599998,62.006916,50661600
2018-05-09,62.802502,63.967499,62.527500,63.945000,63.339169,59676000
2018-05-10,64.480003,65.125000,64.300003,65.032501,64.416367,99408000
2018-05-11,63.195000,64.947502,62.634998,63.632500,63.029636,121445600
2018-05-14,64.017502,64.622498,63.599998,63.840000,63.235165,52314000
2018-05-15,63.197498,63.224998,60.375000,61.389999,60.808380,96352800
2018-05-16,61.000000,62.130001,60.627499,61.502499,60.919807,55382800
2018-05-17,61.520000,62.875000,61.357498,61.927502,61.340786,51978400
2018-05-18,62.452499,63.092499,61.435001,61.485001,60.902481,48371600
2018-05-21,62.470001,62.507500,60.122501,61.060001,60.481503,64062400
2018-05-22,61.195000,61.450001,60.062500,60.674999,60.100151,51826400
2018-05-23,60.070000,61.897499,60.062500,61.884998,61.336597,44295600
2018-05-24,61.847500,62.349998,61.310001,61.922501,61.373768,43737200
2018-05-25,62.049999,62.485001,61.689999,62.320000,61.767750,29211200
2018-05-29,62.137501,62.834999,61.674999,62.147499,61.596775,35268400
2018-05-30,62.487499,63.334999,62.237499,63.247501,62.687027,39099600
2018-05-31,62.924999,63.799999,62.817501,63.047501,62.488796,49386800
2018-06-01,63.500000,64.467499,63.412498,64.404999,63.834263,42196800
2018-06-04,64.750000,66.434998,64.425003,66.212502,65.625748,64202400
2018-06-05,66.245003,66.647499,65.792503,66.267502,65.680260,39171200
2018-06-06,65.357498,66.320000,65.192497,66.287498,65.700096,37135600
2018-06-07,66.250000,66.370003,64.812500,65.724998,65.142570,36944800
